Disease,Year,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,Aust
Campylobacteriosis,1991,39,,414,2761,1597,736,2515,939,9001
Campylobacteriosis,1992,35,,403,2991,2190,425,2232,998,9274
Campylobacteriosis,1993,161,,362,2472,1686,438,2248,905,8272
Campylobacteriosis,1994,299,,321,2128,2263,499,3591,1065,10166
Campylobacteriosis,1995,289,,359,2096,3292,478,3038,1546,11098
Campylobacteriosis,1996,256,,258,3089,2633,469,3534,1922,12161
Campylobacteriosis,1997,264,,205,4086,1927,334,3798,1382,11996
Campylobacteriosis,1998,397,,205,4386,2286,354,3407,1675,12710
Campylobacteriosis,1999,290,,237,3202,2406,412,4419,1413,12379
Campylobacteriosis,2000,334,,193,3680,1884,513,5063,1982,13649
Campylobacteriosis,2001,425,,284,3961,2668,677,5497,2593,16105
Campylobacteriosis,2002,367,,208,3873,2503,605,5011,2144,14711
Campylobacteriosis,2003,406,,271,3838,2645,631,5598,1975,15364
Campylobacteriosis,2004,380,,215,4106,1965,611,6375,1935,15587
Campylobacteriosis,2005,406,,255,4413,2115,762,6100,2441,16492
Campylobacteriosis,2006,405,,263,3966,2521,597,5750,1934,15436
Campylobacteriosis,2007,423,,289,4433,2694,717,6348,2088,16992
Campylobacteriosis,2008,382,,257,4817,2003,487,5778,1836,15560
Campylobacteriosis,2009,472,,205,4599,1762,651,5838,2577,16104
Campylobacteriosis,2010,556,,165,4784,1778,738,6645,2326,16992
Campylobacteriosis,2011,496,,160,5128,2127,864,6769,2177,17721
Campylobacteriosis,2012,477,,175,4181,2161,881,5921,1906,15702
Campylobacteriosis,2013,375,,198,3832,1722,696,5940,1926,14689
Campylobacteriosis,2014,505,,294,6220,1807,937,7212,2962,19937
Campylobacteriosis,2015,608,,371,7545,1818,1035,8280,2891,22548
Campylobacteriosis,2016,581,,442,7203,3200,1060,8276,3409,24171
Campylobacteriosis,2017,472,,393,7628,3113,730,6828,3391,22555
Campylobacteriosis,2018,532,,346,8299,3092,628,6678,3455,23030
Campylobacteriosis,2019,624,10755,423,9152,3286,911,7219,3521,35891
Campylobacteriosis,2020,687,9088,341,7647,2728,1088,7108,2887,31574
STEC,1999,0,0,0,,42,0,4,,46
STEC,2000,0,1,0,,33,0,3,,37
STEC,2001,0,1,0,13,27,0,1,3,45
STEC,2002,0,6,0,5,39,0,5,4,59
STEC,2003,0,3,0,5,37,0,3,3,51
STEC,2004,0,5,0,10,30,0,4,0,49
STEC,2005,0,16,0,9,39,2,8,12,86
STEC,2006,0,10,2,12,35,0,4,3,66
STEC,2007,1,23,3,23,40,0,14,2,106
STEC,2008,0,19,0,29,39,0,11,0,98
STEC,2009,0,21,1,22,62,0,16,6,128
STEC,2010,0,10,0,17,33,0,12,8,80
STEC,2011,5,10,1,16,49,2,9,3,95
STEC,2012,6,13,2,27,45,7,11,1,112
STEC,2013,3,25,0,83,53,1,11,4,180
STEC,2014,0,30,0,28,45,0,10,2,115
STEC,2015,0,30,0,32,45,0,29,0,136
STEC,2016,0,70,2,24,176,2,33,34,341
STEC,2017,0,50,2,27,319,5,34,60,497
STEC,2018,0,57,4,25,316,5,63,93,563
STEC,2019,1,78,1,29,293,0,102,151,655
STEC,2020,0,117,1,30,217,1,100,105,571
Salmonellosis,1991,18,1123,482,1467,494,201,987,719,5491
Salmonellosis,1992,17,746,384,1428,352,129,723,659,4438
Salmonellosis,1993,43,932,395,1359,405,139,676,657,4606
Salmonellosis,1994,41,1055,460,1447,501,125,962,593,5184
Salmonellosis,1995,81,1260,365,1605,634,138,956,714,5753
Salmonellosis,1996,63,1207,424,2025,380,122,881,617,5719
Salmonellosis,1997,70,1693,339,1895,567,108,1681,583,6936
Salmonellosis,1998,74,1812,429,2832,520,116,1076,658,7517
Salmonellosis,1999,64,1433,354,2238,953,151,1090,708,6991
Salmonellosis,2000,103,1395,323,1825,447,131,1000,924,6148
Salmonellosis,2001,76,1635,387,2198,610,163,1083,833,6985
Salmonellosis,2002,95,2092,327,2673,517,166,1226,720,7816
Salmonellosis,2003,80,1829,359,2181,446,147,1291,614,6947
Salmonellosis,2004,100,2101,388,2791,527,119,1101,620,7747
Salmonellosis,2005,94,2120,396,2590,589,302,1450,797,8338
Salmonellosis,2006,131,1997,401,2687,570,189,1390,797,8162
Salmonellosis,2007,109,2469,522,2348,870,224,1854,982,9378
Salmonellosis,2008,132,2214,492,2030,653,205,1632,850,8208
Salmonellosis,2009,221,2686,488,2412,681,166,1629,1114,9397
Salmonellosis,2010,211,3708,573,2853,667,236,2263,1265,11776
Salmonellosis,2011,161,3441,403,2885,1059,195,2711,1310,12165
Salmonellosis,2012,238,2908,405,2764,843,277,2526,1159,11120
Salmonellosis,2013,279,3396,387,3163,975,248,2949,1268,12665
Salmonellosis,2014,221,4279,456,4836,1220,250,3677,1251,16190
Salmonellosis,2015,237,4035,545,5322,1263,257,3520,1706,16885
Salmonellosis,2016,268,4474,658,4763,1572,282,4041,1951,18009
Salmonellosis,2017,349,3699,533,4224,1456,309,3225,2580,16375
Salmonellosis,2018,191,3341,528,3483,1174,284,3084,2061,14146
Salmonellosis,2019,162,3522,428,3815,1177,237,3179,2154,14674
Salmonellosis,2020,119,2937,409,4130,673,190,1814,1761,12033
Listeriosis,1991,0,11,,7,,3,27,5,53
Listeriosis,1992,0,13,,6,3,0,15,8,45
Listeriosis,1993,1,12,,7,2,0,23,4,49
Listeriosis,1994,1,10,0,13,3,0,7,1,35
Listeriosis,1995,5,14,1,9,3,1,16,3,52
Listeriosis,1996,1,22,0,7,15,1,17,4,67
Listeriosis,1997,0,23,0,9,6,1,16,19,74
Listeriosis,1998,1,28,0,4,2,2,12,4,53
Listeriosis,1999,0,22,0,11,3,2,13,12,63
