"","Pathogen","Disease","Agegroup","Source","CostCategory","median","5%","95%"
"1","Campylobacter","Initial","5-64","AllFood","TotalHumanCapital",116218728.520889,76041392.7940622,181839533.062123
"2","Campylobacter","Initial","5-64","Beef","TotalHumanCapital",6646748.28609595,1140095.4043642,26652099.3456073
"3","Campylobacter","Initial","5-64","Crustaceans","TotalHumanCapital",0,0,0
"4","Campylobacter","Initial","5-64","Dairy","TotalHumanCapital",6573423.15611723,514797.445016578,23039030.046407
"5","Campylobacter","Initial","5-64","Eggs","TotalHumanCapital",0,0,0
"6","Campylobacter","Initial","5-64","Finfish","TotalHumanCapital",0,0,0
"7","Campylobacter","Initial","5-64","Fruit","TotalHumanCapital",0,0,0
"8","Campylobacter","Initial","5-64","Grains and seeds","TotalHumanCapital",0,0,0
"9","Campylobacter","Initial","5-64","Lamb","TotalHumanCapital",4813057.08468241,234905.467939226,20163236.2710184
"10","Campylobacter","Initial","5-64","Molluscs","TotalHumanCapital",0,0,0
"11","Campylobacter","Initial","5-64","Nuts","TotalHumanCapital",0,0,0
"12","Campylobacter","Initial","5-64","Other","TotalHumanCapital",11892422.2480437,5137.58693068839,34492514.122561
"13","Campylobacter","Initial","5-64","Pork","TotalHumanCapital",5909052.64719609,514764.198288404,24216703.0327859
"14","Campylobacter","Initial","5-64","Poultry","TotalHumanCapital",76831777.6933066,35409869.7013293,136389534.845737
"15","Campylobacter","Initial","5-64","Vegetables","TotalHumanCapital",8038119.99578411,622311.969744291,25720303.0683134
"16","Campylobacter","Initial","65+","AllFood","TotalHumanCapital",47033541.0593308,32826048.0672513,86934017.6008928
"17","Campylobacter","Initial","65+","Beef","TotalHumanCapital",2792966.09302987,477289.238414832,13398204.9147137
"18","Campylobacter","Initial","65+","Crustaceans","TotalHumanCapital",0,0,0
"19","Campylobacter","Initial","65+","Dairy","TotalHumanCapital",2746425.26036052,217101.498577308,11931856.1190223
"20","Campylobacter","Initial","65+","Eggs","TotalHumanCapital",0,0,0
"21","Campylobacter","Initial","65+","Finfish","TotalHumanCapital",0,0,0
"22","Campylobacter","Initial","65+","Fruit","TotalHumanCapital",0,0,0
"23","Campylobacter","Initial","65+","Grains and seeds","TotalHumanCapital",0,0,0
"24","Campylobacter","Initial","65+","Lamb","TotalHumanCapital",2029617.66340329,99377.690040459,10301227.8869571
"25","Campylobacter","Initial","65+","Molluscs","TotalHumanCapital",0,0,0
"26","Campylobacter","Initial","65+","Nuts","TotalHumanCapital",0,0,0
"27","Campylobacter","Initial","65+","Other","TotalHumanCapital",4980847.59819808,3050.81249228748,17009668.0124148
"28","Campylobacter","Initial","65+","Pork","TotalHumanCapital",2478343.63199634,217864.322850619,12189683.2062385
"29","Campylobacter","Initial","65+","Poultry","TotalHumanCapital",31704737.8753321,15022779.2636616,62423299.0000341
"30","Campylobacter","Initial","65+","Vegetables","TotalHumanCapital",3361361.2028191,262392.075247987,13075679.7759487
"31","Campylobacter","Initial","<5","AllFood","TotalHumanCapital",13378555.5275669,8305481.04532419,21939093.9827106
"32","Campylobacter","Initial","<5","Beef","TotalHumanCapital",763444.415278546,128466.160899577,3197603.77258027
"33","Campylobacter","Initial","<5","Crustaceans","TotalHumanCapital",0,0,0
"34","Campylobacter","Initial","<5","Dairy","TotalHumanCapital",750561.000987693,58909.7261458956,2778489.87365296
"35","Campylobacter","Initial","<5","Eggs","TotalHumanCapital",0,0,0
"36","Campylobacter","Initial","<5","Finfish","TotalHumanCapital",0,0,0
"37","Campylobacter","Initial","<5","Fruit","TotalHumanCapital",0,0,0
"38","Campylobacter","Initial","<5","Grains and seeds","TotalHumanCapital",0,0,0
"39","Campylobacter","Initial","<5","Lamb","TotalHumanCapital",553120.694349001,27059.0977407791,2416659.74289117
"40","Campylobacter","Initial","<5","Molluscs","TotalHumanCapital",0,0,0
"41","Campylobacter","Initial","<5","Nuts","TotalHumanCapital",0,0,0
"42","Campylobacter","Initial","<5","Other","TotalHumanCapital",1354735.60334294,619.917845834172,4162037.30634566
"43","Campylobacter","Initial","<5","Pork","TotalHumanCapital",680531.444459708,59040.1232296029,2887570.32877446
"44","Campylobacter","Initial","<5","Poultry","TotalHumanCapital",8806305.88424369,3907420.81698681,16345547.7454398
"45","Campylobacter","Initial","<5","Vegetables","TotalHumanCapital",920403.460873845,71238.7231129515,3069970.15713471
"46","Campylobacter","Guillain-Barré syndrome","5-64","AllFood","TotalHumanCapital",8923169.50568363,5002516.19699979,15053076.3267884
"47","Campylobacter","Guillain-Barré syndrome","5-64","Beef","TotalHumanCapital",502327.301472141,82872.5872112282,2153686.86353484
"48","Campylobacter","Guillain-Barré syndrome","5-64","Crustaceans","TotalHumanCapital",0,0,0
"49","Campylobacter","Guillain-Barré syndrome","5-64","Dairy","TotalHumanCapital",491685.36964143,38230.300415164,1868871.45146595
"50","Campylobacter","Guillain-Barré syndrome","5-64","Eggs","TotalHumanCapital",0,0,0
"51","Campylobacter","Guillain-Barré syndrome","5-64","Finfish","TotalHumanCapital",0,0,0
"52","Campylobacter","Guillain-Barré syndrome","5-64","Fruit","TotalHumanCapital",0,0,0
"53","Campylobacter","Guillain-Barré syndrome","5-64","Grains and seeds","TotalHumanCapital",0,0,0
"54","Campylobacter","Guillain-Barré syndrome","5-64","Lamb","TotalHumanCapital",362541.75633638,17829.9630561787,1616784.30579645
"55","Campylobacter","Guillain-Barré syndrome","5-64","Molluscs","TotalHumanCapital",0,0,0
"56","Campylobacter","Guillain-Barré syndrome","5-64","Nuts","TotalHumanCapital",0,0,0
"57","Campylobacter","Guillain-Barré syndrome","5-64","Other","TotalHumanCapital",880381.892676172,420.589114930872,2789713.88786087
"58","Campylobacter","Guillain-Barré syndrome","5-64","Pork","TotalHumanCapital",446307.999836902,38169.3047019494,1946976.8335205
"59","Campylobacter","Guillain-Barré syndrome","5-64","Poultry","TotalHumanCapital",5820338.3572598,2377643.80053505,11179380.4570203
"60","Campylobacter","Guillain-Barré syndrome","5-64","Vegetables","TotalHumanCapital",601257.414898742,46587.9628433652,2085699.14099194
"61","Campylobacter","Guillain-Barré syndrome","65+","AllFood","TotalHumanCapital",32756407.2361154,14712249.0411365,60110401.516437
"62","Campylobacter","Guillain-Barré syndrome","65+","Beef","TotalHumanCapital",1795254.34669792,270610.175935248,8236642.69614656
"63","Campylobacter","Guillain-Barré syndrome","65+","Crustaceans","TotalHumanCapital",0,0,0
"64","Campylobacter","Guillain-Barré syndrome","65+","Dairy","TotalHumanCapital",1736364.03706338,134446.978335534,7149055.74453401
"65","Campylobacter","Guillain-Barré syndrome","65+","Eggs","TotalHumanCapital",0,0,0
"66","Campylobacter","Guillain-Barré syndrome","65+","Finfish","TotalHumanCapital",0,0,0
"67","Campylobacter","Guillain-Barré syndrome","65+","Fruit","TotalHumanCapital",0,0,0
"68","Campylobacter","Guillain-Barré syndrome","65+","Grains and seeds","TotalHumanCapital",0,0,0
"69","Campylobacter","Guillain-Barré syndrome","65+","Lamb","TotalHumanCapital",1287455.44258055,63420.7194779973,6182473.94852377
"70","Campylobacter","Guillain-Barré syndrome","65+","Molluscs","TotalHumanCapital",0,0,0
"71","Campylobacter","Guillain-Barré syndrome","65+","Nuts","TotalHumanCapital",0,0,0
"72","Campylobacter","Guillain-Barré syndrome","65+","Other","TotalHumanCapital",3091848.56344093,1653.1669283989,10773714.7266018
"73","Campylobacter","Guillain-Barré syndrome","65+","Pork","TotalHumanCapital",1581143.57725998,132302.606238863,7561279.5445874
