"Source","5-64","65+","<5","All ages"
"Beef","28,200
(12,600 - 86,800)","14,900
(6,320 - 54,200)","5,260
(2,410 - 18,500)","48,600
(22,100 - 158,000)"
"Crustaceans","2,120
(193 - 19,000)","2,760
(275 - 24,500)","1,040
(102 - 9,400)","6,150
(597 - 55,900)"
"Dairy","26,700
(9,780 - 82,000)","18,900
(7,290 - 57,000)","6,560
(2,600 - 19,700)","52,800
(20,800 - 157,000)"
"Eggs","14,100
(1,460 - 44,000)","10,800
(1,110 - 32,200)","4,220
(430 - 13,400)","29,500
(3,080 - 87,400)"
"Finfish","4,560
(1,090 - 22,000)","6,150
(1,180 - 29,000)","2,380
(468 - 11,300)","13,400
(2,890 - 63,800)"
"Fruit","7,910
(2,750 - 25,200)","8,280
(2,390 - 29,100)","3,220
(954 - 11,100)","19,800
(6,420 - 67,000)"
"Grains and seeds","3,320
(350 - 18,200)","2,210
(140 - 12,400)","928
(70.9 - 5,430)","6,540
(599 - 34,400)"
"Lamb","19,800
(7,190 - 74,800)","10,100
(3,560 - 48,600)","3,490
(1,390 - 16,600)","33,700
(12,600 - 139,000)"
"Molluscs","1,890
(373 - 18,600)","2,290
(442 - 23,800)","872
(166 - 9,040)","5,210
(1,040 - 54,900)"
"Nuts","1,680
(175 - 11,600)","1,140
(71 - 6,960)","475
(36.4 - 3,180)","3,330
(304 - 20,800)"
"Pork","26,800
(11,500 - 83,400)","15,500
(6,000 - 54,200)","5,660
(2,440 - 18,700)","48,400
(20,900 - 155,000)"
"Poultry","172,000
(85,100 - 297,000)","86,700
(46,000 - 140,000)","24,200
(12,300 - 41,600)","285,000
(148,000 - 466,000)"
"Vegetables","47,100
(21,400 - 101,000)","33,100
(15,500 - 69,300)","12,100
(5,670 - 25,200)","93,000
(44,500 - 192,000)"
"Other","30,300
(5,480 - 88,800)","13,500
(2,070 - 49,000)","3,960
(872 - 15,200)","48,300
(8,720 - 153,000)"
"AllFood","351,000
(261,000 - 491,000)","206,000
(165,000 - 265,000)","67,800
(51,500 - 90,000)","626,000
(499,000 - 822,000)"
