"Source","<5","5-64","65+","All ages"
"Beef","390
(131 - 1,060)","6,450
(2,390 - 16,200)","973
(326 - 3,990)","8,070
(2,910 - 20,000)"
"Dairy","71.2
(25 - 194)","1,220
(440 - 3,170)","192
(61.4 - 770)","1,530
(550 - 4,060)"
"Eggs","2,300
(878 - 5,880)","39,500
(16,000 - 94,700)","5,900
(2,090 - 21,900)","49,000
(19,800 - 119,000)"
"Fin fish","7.57
(2.65 - 21)","131
(45.6 - 345)","20.3
(6.22 - 83.5)","165
(56.9 - 425)"
"Fruit","154
(51.5 - 451)","2,660
(922 - 6,940)","393
(122 - 1,600)","3,270
(1,160 - 8,580)"
"Lamb","318
(108 - 903)","5,230
(1,900 - 15,000)","827
(265 - 3,630)","6,520
(2,340 - 18,700)"
"Nuts","267
(81.8 - 769)","4,540
(1,430 - 12,000)","653
(204 - 2,740)","5,620
(1,790 - 15,200)"
"Other","109
(39.9 - 285)","1,860
(715 - 4,480)","299
(95.9 - 1,120)","2,360
(871 - 5,840)"
"Pork","551
(182 - 1,530)","9,250
(3,260 - 24,000)","1,410
(459 - 5,520)","11,600
(4,000 - 29,900)"
"Poultry","1,530
(506 - 4,160)","25,600
(9,040 - 68,400)","3,980
(1,240 - 15,600)","32,000
(11,400 - 83,800)"
"Seeds and grains","97.3
(35.1 - 262)","1,680
(624 - 4,160)","250
(83.1 - 947)","2,090
(783 - 5,270)"
"Shellfish","18.5
(6.27 - 51.8)","321
(112 - 865)","49.2
(15.8 - 217)","399
(146 - 1,110)"
"Vegetables","535
(186 - 1,370)","8,960
(3,420 - 21,600)","1,330
(459 - 4,900)","11,200
(4,220 - 26,800)"
"AllFood","6,340
(2,400 - 15,600)","109,000
(42,000 - 255,000)","16,600
(5,960 - 62,200)","139,000
(51,300 - 330,000)"
