"Source","5-64","65+","<5","All ages"
"Beef","2,150
(398 - 6,850)","514
(83.1 - 2,010)","241
(39.6 - 892)","3,000
(571 - 9,270)"
"Crustaceans","0*","0*","0*","0*"
"Dairy","441
(7.45 - 2,010)","105
(1.92 - 642)","49.5
(0.875 - 276)","614
(10.2 - 2,720)"
"Eggs","0*","0*","0*","0*"
"Finfish","0*","0*","0*","0*"
"Fruit","437
(60.7 - 1,480)","102
(13.2 - 492)","48.2
(6.17 - 211)","612
(85.9 - 1,970)"
"Grains and seeds","0*","0*","0*","0*"
"Lamb","2,120
(177 - 6,920)","497
(40.5 - 2,040)","235
(18.8 - 905)","2,960
(250 - 9,410)"
"Molluscs","0*","0*","0*","0*"
"Nuts","0*","0*","0*","0*"
"Pork","1,540
(145 - 4,940)","357
(32.6 - 1,480)","170
(15.3 - 647)","2,150
(205 - 6,640)"
"Poultry","474
(80.2 - 1,730)","112
(16.8 - 553)","52.6
(8.08 - 239)","663
(115 - 2,290)"
"Vegetables","1,560
(105 - 5,730)","371
(24.2 - 1,670)","174
(11.3 - 743)","2,180
(148 - 7,750)"
"Other","1,140
(102 - 4,670)","275
(22.7 - 1,370)","128
(10.8 - 609)","1,590
(143 - 6,310)"
"AllFood","9,460
(5,430 - 14,700)","2,230
(989 - 5,070)","1,070
(466 - 2,130)","13,100
(8,120 - 19,500)"
