"Source","5-64","65+","<5","All ages"
"Beef","753
(35.6 - 3,210)","147
(6.93 - 783)","131
(6.22 - 645)","1,060
(50.1 - 4,420)"
"Crustaceans","0*","0*","0*","0*"
"Dairy","577
(25.2 - 2,820)","114
(4.95 - 693)","101
(4.39 - 565)","810
(35.6 - 3,910)"
"Eggs","0*","0*","0*","0*"
"Finfish","160
(0.11 - 995)","31.7
(0.0312 - 274)","28.1
(0.0235 - 217)","224
(0.154 - 1,360)"
"Fruit","0*","0*","0*","0*"
"Grains and seeds","0*","0*","0*","0*"
"Lamb","749
(37.5 - 3,160)","146
(7.36 - 774)","130
(6.48 - 636)","1,050
(52.7 - 4,360)"
"Molluscs","0*","0*","0*","0*"
"Nuts","0*","0*","0*","0*"
"Pork","3,660
(736 - 8,120)","686
(131 - 2,120)","618
(119 - 1,680)","5,170
(1,060 - 11,200)"
"Poultry","0*","0*","0*","0*"
"Vegetables","1,250
(72.5 - 4,850)","244
(14 - 1,170)","217
(12.4 - 958)","1,760
(102 - 6,710)"
"Other","108
(0.116 - 7,920)","29.1
(0.0301 - 1,810)","23.1
(0.0246 - 1,510)","149
(0.162 - 11,000)"
"AllFood","7,420
(4,230 - 12,500)","1,410
(665 - 3,570)","1,280
(618 - 2,770)","10,400
(6,150 - 17,100)"
