"","Measure","Pathogen","Disease","Agegroup","Source","median","5%","95%"
"1","Cases","Listeria monocytogenes","Initial","<5","Beef",0.0231345720937668,0.00895613933714207,0.0492646196416366
"2","Cases","Listeria monocytogenes","Initial","<5","Dairy",3.33165529690186,1.66664691655404,5.03622045738357
"3","Cases","Listeria monocytogenes","Initial","<5","Eggs",0,0,0
"4","Cases","Listeria monocytogenes","Initial","<5","Fin fish",0.0698263294838981,0.0306407218247018,0.132934773897044
"5","Cases","Listeria monocytogenes","Initial","<5","Fruit",1.53013841759853,0.763953996215016,2.33364841369085
"6","Cases","Listeria monocytogenes","Initial","<5","Lamb",0.0231221471855839,0.00895068535282868,0.0492568710820538
"7","Cases","Listeria monocytogenes","Initial","<5","Nuts",0.0230912842857931,0.00888376904539733,0.0492413120424064
"8","Cases","Listeria monocytogenes","Initial","<5","Other",0.304372240840576,0.138130562493029,0.552321797651624
"9","Cases","Listeria monocytogenes","Initial","<5","Pork",0.747079814061036,0.374823667790484,1.12348152024427
"10","Cases","Listeria monocytogenes","Initial","<5","Poultry",0.722848376960591,0.362555567003575,1.0871494688718
"11","Cases","Listeria monocytogenes","Initial","<5","Seeds and grains",0.226456659558831,0.107485626009258,0.389992606331127
"12","Cases","Listeria monocytogenes","Initial","<5","Shellfish",0.722501392364508,0.36259202395143,1.08765605302549
"13","Cases","Listeria monocytogenes","Initial","<5","Vegetables",1.82768325382311,0.916098494778218,2.76160943312966
"14","Cases","Listeria monocytogenes","Initial","<5","AllFood",9.68496324944138,4.8596596430955,14.5513371903032
"15","Cases","Listeria monocytogenes","Initial","5-64","Beef",0.0694037162813003,0.0268684180114262,0.14779385892491
"16","Cases","Listeria monocytogenes","Initial","5-64","Dairy",9.99496589070558,4.99994074966211,15.1086613721507
"17","Cases","Listeria monocytogenes","Initial","5-64","Eggs",0,0,0
"18","Cases","Listeria monocytogenes","Initial","5-64","Fin fish",0.209478988451694,0.0919221654741053,0.398804321691131
"19","Cases","Listeria monocytogenes","Initial","5-64","Fruit",4.59041525279558,2.29186198864505,7.00094524107254
"20","Cases","Listeria monocytogenes","Initial","5-64","Lamb",0.0693664415567517,0.026852056058486,0.147770613246162
"21","Cases","Listeria monocytogenes","Initial","5-64","Nuts",0.0692738528573792,0.026651307136192,0.147723936127219
"22","Cases","Listeria monocytogenes","Initial","5-64","Other",0.913116722521729,0.414391687479086,1.65696539295487
"23","Cases","Listeria monocytogenes","Initial","5-64","Pork",2.24123944218311,1.12447100337145,3.3704445607328
"24","Cases","Listeria monocytogenes","Initial","5-64","Poultry",2.16854513088177,1.08766670101073,3.26144840661541
"25","Cases","Listeria monocytogenes","Initial","5-64","Seeds and grains",0.679369978676493,0.322456878027775,1.16997781899338
"26","Cases","Listeria monocytogenes","Initial","5-64","Shellfish",2.16750417709352,1.08777607185429,3.26296815907647
"27","Cases","Listeria monocytogenes","Initial","5-64","Vegetables",5.48304976146934,2.74829548433465,8.28482829938897
"28","Cases","Listeria monocytogenes","Initial","5-64","AllFood",29.0548897483241,14.5789789292865,43.6540115709094
"29","Cases","Listeria monocytogenes","Initial","65+","Beef",0.148061261400107,0.0573192917577092,0.315293565706474
"30","Cases","Listeria monocytogenes","Initial","65+","Dairy",21.3225939001719,10.6665402659458,32.2318109272548
"31","Cases","Listeria monocytogenes","Initial","65+","Eggs",0,0,0
"32","Cases","Listeria monocytogenes","Initial","65+","Fin fish",0.446888508696948,0.196100619678091,0.850782552941079
"33","Cases","Listeria monocytogenes","Initial","65+","Fruit",9.79288587263057,4.8893055757761,14.9353498476214
"34","Cases","Listeria monocytogenes","Initial","65+","Lamb",0.147981741987737,0.0572843862581035,0.315243974925145
"35","Cases","Listeria monocytogenes","Initial","65+","Nuts",0.147784219429076,0.0568561218905429,0.315144397071401
"36","Cases","Listeria monocytogenes","Initial","65+","Other",1.94798234137969,0.884035599955384,3.5348595049704
"37","Cases","Listeria monocytogenes","Initial","65+","Pork",4.78131080999063,2.3988714738591,7.1902817295633
