"Source","<5","5-64","65+","All ages"
"Beef","1,050
(563 - 1,980)","3,020
(1,670 - 5,490)","707
(395 - 1,270)","4,770
(2,630 - 8,740)"
"Dairy","234
(136 - 403)","729
(427 - 1,230)","194
(120 - 314)","1,160
(685 - 1,940)"
"Eggs","5,340
(2,760 - 10,100)","13,900
(7,200 - 26,400)","3,160
(1,630 - 5,980)","22,400
(11,600 - 42,500)"
"Fin fish","17.5
(8.71 - 34.4)","45.7
(22.7 - 89.7)","10.8
(5.57 - 20.7)","74
(37 - 145)"
"Fruit","381
(178 - 798)","1,030
(495 - 2,120)","245
(123 - 491)","1,650
(797 - 3,400)"
"Lamb","759
(369 - 1,540)","2,030
(1,010 - 4,060)","466
(233 - 925)","3,260
(1,610 - 6,520)"
"Nuts","598
(258 - 1,310)","1,560
(673 - 3,410)","354
(153 - 772)","2,510
(1,080 - 5,480)"
"Pork","1,310
(624 - 2,670)","3,470
(1,680 - 7,030)","795
(390 - 1,600)","5,570
(2,700 - 11,300)"
"Poultry","3,480
(1,700 - 7,020)","9,110
(4,460 - 18,300)","2,070
(1,020 - 4,160)","14,700
(7,170 - 29,500)"
"Seeds and grains","246
(131 - 461)","677
(372 - 1,240)","158
(87.9 - 285)","1,080
(591 - 1,990)"
"Shellfish","44.2
(21.5 - 89.4)","116
(56.2 - 233)","30.4
(16.7 - 57.1)","190
(94.5 - 380)"
"Vegetables","1,290
(711 - 2,370)","3,530
(1,990 - 6,360)","825
(473 - 1,470)","5,650
(3,180 - 10,200)"
"Other","272
(147 - 504)","741
(410 - 1,350)","172
(96.9 - 311)","1,180
(654 - 2,160)"
"AllFood","15,100
(8,620 - 26,300)","40,300
(23,200 - 69,500)","9,250
(5,370 - 15,900)","64,700
(37,200 - 112,000)"
