Id,5%quantile,50%quant,95%qunat
 NtS01,1.127,5.859,14.41
 NtS02,0.4962,2.632,10.72
 NtS03,0.529,3.928,13.57
 NtS04,3.511,21.76,46.79
 NtS05,2.28,20.7,50.74
 NtS06,0.1108,3.447,18.41
 NtS07,0.001194,0.9724,3.569
 NtS08,1.07E-06,0.1513,4.05
 NtS09,0.0006501,1.105,4.472
 NtS10,0.4126,4.669,13.25
 NtS11,0.06525,3.602,17.46
 NtS12,0.03461,1.767,9.068
 NtS13,3.7,26.23,48.56
 NtS14,0.002123,1.04,4.848
 Cam01,1.094,5.404,14.78
 Cam02,0.1963,4.008,10.92
 Cam03,0.4542,4.895,13.66
 Cam04,40.49,69.18,89.49
 Cam06,0.4547,5.619,12.64
 Cam13,0.5623,7.031,14.44
 Cam14,0.002803,10.72,19.82
 Lim01,0.1438,4.21,14.56
 Lim02,0.08019,2.508,8.397
 Lim03,0.258,9.644,24.89
 Lim04,0.04341,2.968,13.75
 Lim06,4.862,16.01,43.15
 Lim07,1.441,12,37.75
 Lim08,0.2193,4.515,16.06
 Lim09,0.1476,3.273,7.824
 Lim10,1.201,12.8,23.08
 Lim13,8.964,23.54,39.26
 Tog01,5.031,22.05,57.86
 Tog02,1.973,22.46,59.28
 Tog03,1.648,16.53,39.24
 Tog04,1,5,12
 Tog06,0.06707,4.538,14.62
 Tog10,0.737,4.818,9.971
 Tog13,1.107,16.33,47.29
 Tog14,1.158,11.53,37.71
 STC01,7.315,36.3,62.79
 STC02,0.6911,8.666,35.03
 STC03,0.2755,5.734,24.16
 STC06,0.4092,8.737,37.63
 STC10,0.7051,4.619,10.65
 STC11,0.2047,2.93,9.09
 STC12,0.01913,1.404,4.762
 STC13,5.065,18.99,56.43
 STC14,1.289,5.982,19.95
 Yer01,0.4429,9.82,29.94
 Yer02,0.4609,9.629,29.66
 Yer03,11.83,54.5,81.84
 Yer06,0.335,7.228,26.53
 Yer07,0.000985,2,8
 Yer13,0.9815,16.14,49.22
 Yer14,0.000994,0.9757,95.42
 Vib07,0.4102,8.31,17.96
 Vib08,2.422,15.51,36.1
 Vib09,51.94,76.65,94.71
 BaC01,0.134,4.733,15.18
 BaC02,0.1016,4.667,15.15
 BaC03,0.1055,4.69,15.02
 BaC04,0.1127,5.848,17.44
 BaC05,0.03476,2.527,8.195
 BaC06,0.805,8.511,19.47
 BaC07,0.001241,1.147,5.615
 BaC08,0.001008,0.03965,7.339
 BaC09,0.001001,0.02143,4.879
 BaC10,0.3095,4.368,13.37
 BaC11,8.104,35.01,75.46
 BaC12,0.003145,1.54,11.48
 BaC13,2.816,15.41,39.35
 BaC14,0.004417,6.573,14.79
