 NtS01, NtS02, NtS03, NtS04, NtS05, NtS06, NtS07, NtS08, NtS09, NtS10, NtS11, NtS12, NtS13, NtS14, Cam01, Cam02, Cam03, Cam04, Cam06, Cam13, Cam14, Lim01, Lim02, Lim03, Lim04, Lim06, Lim07, Lim08, Lim09, Lim10, Lim13, Tog01, Tog02, Tog03, Tog04, Tog06, Tog10, Tog13, Tog14, STC01, STC02, STC03, STC06, STC10, STC11, STC12, STC13, STC14, Yer01, Yer02, Yer03, Yer06, Yer07, Yer13, Yer14, Vib07, Vib08, Vib09, BaC01, BaC02, BaC03, BaC04, BaC05, BaC06, BaC07, BaC08, BaC09, BaC10, BaC11, BaC12, BaC13, BaC14
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.022562563,0.009933934,0.010590591,0.07029029,0.045645646,0.002218218,2.39E-05,2.14E-08,1.30E-05,0.00826026,0.001306306,0.000692893,0.074074074,4.25E-05,0.021901902,0.00392993,0.009093093,0.810610611,0.009103103,0.011257257,5.61E-05,0.002878879,0.001605405,0.005165165,0.000869069,0.097337337,0.028848849,0.00439039,0.002954955,0.024044044,0.179459459,0.100720721,0.039499499,0.032992993,0.02002002,0.001342743,0.014754755,0.022162162,0.023183183,0.146446446,0.013835836,0.005515516,0.008192192,0.014116116,0.004098098,0.000382983,0.101401401,0.025805806,0.008866867,0.009227227,0.236836837,0.006706707,1.97E-05,0.01964965,1.99E-05,0.008212212,0.048488488,1.03983984,0.002682683,0.002034034,0.002112112,0.002256256,0.000695896,0.016116116,2.48E-05,2.02E-05,2.00E-05,0.006196196,0.162242242,6.30E-05,0.056376376,8.84E-05
0.045125125,0.019867868,0.021181181,0.140580581,0.091291291,0.004436436,4.78E-05,4.28E-08,2.60E-05,0.016520521,0.002612613,0.001385786,0.148148148,8.50E-05,0.043803804,0.00785986,0.018186186,1.621221221,0.018206206,0.022514515,0.000112232,0.005757758,0.003210811,0.01033033,0.001738138,0.194674675,0.057697698,0.008780781,0.00590991,0.048088088,0.358918919,0.201441441,0.078998999,0.065985986,0.04004004,0.002685485,0.02950951,0.044324324,0.046366366,0.292892893,0.027671672,0.011031031,0.016384384,0.028232232,0.008196196,0.000765966,0.202802803,0.051611612,0.017733734,0.018454454,0.473673674,0.013413413,3.94E-05,0.039299299,3.98E-05,0.016424424,0.096976977,2.07967968,0.005365365,0.004068068,0.004224224,0.004512513,0.001391792,0.032232232,4.97E-05,4.04E-05,4.01E-05,0.012392392,0.324484484,0.000125926,0.112752753,0.000176857
0.067687688,0.029801802,0.031771772,0.210870871,0.136936937,0.006654655,7.17E-05,6.43E-08,3.90E-05,0.024780781,0.003918919,0.002078679,0.222222222,0.000127508,0.065705706,0.01178979,0.027279279,2.431831832,0.027309309,0.033771772,0.000168348,0.008636637,0.004816216,0.015495495,0.002607207,0.292012012,0.086546547,0.013171171,0.008864865,0.072132132,0.538378378,0.302162162,0.118498498,0.098978979,0.06006006,0.004028228,0.044264264,0.066486486,0.06954955,0.439339339,0.041507508,0.016546547,0.024576577,0.042348348,0.012294294,0.001148949,0.304204204,0.077417417,0.026600601,0.027681682,0.710510511,0.02012012,5.92E-05,0.058948949,5.97E-05,0.024636637,0.145465465,3.11951952,0.008048048,0.006102102,0.006336336,0.006768769,0.002087688,0.048348348,7.45E-05,6.05E-05,6.01E-05,0.018588589,0.486726727,0.000188889,0.169129129,0.000265285
0.09025025,0.039735736,0.042362362,0.281161161,0.182582583,0.008872873,9.56E-05,8.57E-08,5.21E-05,0.033041041,0.005225225,0.002771572,0.296296296,0.00017001,0.087607608,0.01571972,0.036372372,3.242442442,0.036412412,0.045029029,0.000224464,0.011515516,0.006421622,0.020660661,0.003476276,0.389349349,0.115395395,0.017561562,0.01181982,0.096176176,0.717837838,0.402882883,0.157997998,0.131971972,0.08008008,0.005370971,0.059019019,0.088648649,0.092732733,0.585785786,0.055343343,0.022062062,0.032768769,0.056464464,0.016392392,0.001531932,0.405605606,0.103223223,0.035467467,0.036908909,0.947347347,0.026826827,7.89E-05,0.078598599,7.96E-05,0.032848849,0.193953954,4.159359359,0.010730731,0.008136136,0.008448448,0.009025025,0.002783584,0.064464464,9.94E-05,8.07E-05,8.02E-05,0.024784785,0.648968969,0.000251852,0.225505506,0.000353714
0.112812813,0.04966967,0.052952953,0.351451451,0.228228228,0.011091091,0.00011952,1.07E-07,6.51E-05,0.041301301,0.006531532,0.003464464,0.37037037,0.000212513,0.10950951,0.01964965,0.045465465,4.053053053,0.045515516,0.056286286,0.000280581,0.014394394,0.008027027,0.025825826,0.004345345,0.486686687,0.144244244,0.021951952,0.014774775,0.12022022,0.897297297,0.503603604,0.197497497,0.164964965,0.1001001,0.006713714,0.073773774,0.110810811,0.115915916,0.732232232,0.069179179,0.027577578,0.040960961,0.070580581,0.02049049,0.001914915,0.507007007,0.129029029,0.044334334,0.046136136,1.184184184,0.033533534,9.86E-05,0.098248248,9.95E-05,0.041061061,0.242442442,5.199199199,0.013413413,0.01017017,0.010560561,0.011281281,0.003479479,0.080580581,0.000124224,0.000100901,0.0001002,0.030980981,0.811211211,0.000314815,0.281881882,0.000442142
0.135375375,0.059603604,0.063543544,0.421741742,0.273873874,0.013309309,0.000143423,1.29E-07,7.81E-05,0.049561562,0.007837838,0.004157357,0.444444444,0.000255015,0.131411411,0.02357958,0.054558559,4.863663664,0.054618619,0.067543544,0.000336697,0.017273273,0.009632432,0.030990991,0.005214414,0.584024024,0.173093093,0.026342342,0.01772973,0.144264264,1.076756757,0.604324324,0.236996997,0.197957958,0.12012012,0.008056456,0.088528529,0.132972973,0.139099099,0.878678679,0.083015015,0.033093093,0.049153153,0.084696697,0.024588589,0.002297898,0.608408408,0.154834835,0.053201201,0.055363363,1.421021021,0.04024024,0.000118318,0.117897898,0.000119399,0.049273273,0.290930931,6.239039039,0.016096096,0.012204204,0.012672673,0.013537538,0.004175375,0.096696697,0.000149069,0.000121081,0.00012024,0.037177177,0.973453453,0.000377778,0.338258258,0.000530571
0.157937938,0.069537538,0.074134134,0.492032032,0.31951952,0.015527528,0.000167327,1.50E-07,9.11E-05,0.057821822,0.009144144,0.00485025,0.518518519,0.000297518,0.153313313,0.02750951,0.063651652,5.674274274,0.063721722,0.078800801,0.000392813,0.020152152,0.011237838,0.036156156,0.006083483,0.681361361,0.201941942,0.030732733,0.020684685,0.168308308,1.256216216,0.705045045,0.276496496,0.230950951,0.14014014,0.009399199,0.103283283,0.155135135,0.162282282,1.025125125,0.096850851,0.038608609,0.057345345,0.098812813,0.028686687,0.002680881,0.70980981,0.180640641,0.062068068,0.064590591,1.657857858,0.046946947,0.000138038,0.137547548,0.000139299,0.057485485,0.339419419,7.278878879,0.018778779,0.014238238,0.014784785,0.015793794,0.004871271,0.112812813,0.000173914,0.000141261,0.00014028,0.043373373,1.135695696,0.000440741,0.394634635,0.000618999
0.180500501,0.079471471,0.084724725,0.562322322,0.365165165,0.017745746,0.000191231,1.71E-07,0.00010412,0.066082082,0.01045045,0.005543143,0.592592593,0.00034002,0.175215215,0.031439439,0.072744745,6.484884885,0.072824825,0.090058058,0.000448929,0.023031031,0.012843243,0.041321321,0.006952553,0.778698699,0.230790791,0.035123123,0.02363964,0.192352352,1.435675676,0.805765766,0.315995996,0.263943944,0.16016016,0.010741942,0.118038038,0.177297297,0.185465465,1.171571572,0.110686687,0.044124124,0.065537538,0.112928929,0.032784785,0.003063864,0.811211211,0.206446446,0.070934935,0.073817818,1.894694695,0.053653654,0.000157758,0.157197197,0.000159199,0.065697698,0.387907908,8.318718719,0.021461461,0.016272272,0.016896897,0.01805005,0.005567167,0.128928929,0.000198759,0.000161441,0.00016032,0.04956957,1.297937938,0.000503704,0.451011011,0.000707427
0.203063063,0.089405405,0.095315315,0.632612613,0.410810811,0.019963964,0.000215135,1.93E-07,0.000117135,0.074342342,0.011756757,0.006236036,0.666666667,0.000382523,0.197117117,0.035369369,0.081837838,7.295495495,0.081927928,0.101315315,0.000505045,0.02590991,0.014448649,0.046486486,0.007821622,0.876036036,0.25963964,0.039513514,0.026594595,0.216396396,1.615135135,0.906486486,0.355495495,0.296936937,0.18018018,0.012084685,0.132792793,0.199459459,0.208648649,1.318018018,0.124522523,0.04963964,0.07372973,0.127045045,0.036882883,0.003446847,0.912612613,0.232252252,0.079801802,0.083045045,2.131531532,0.06036036,0.000177477,0.176846847,0.000179099,0.07390991,0.436396396,9.358558559,0.024144144,0.018306306,0.019009009,0.020306306,0.006263063,0.145045045,0.000223604,0.000181622,0.00018036,0.055765766,1.46018018,0.000566667,0.507387387,0.000795856
