"","Pathogen","Disease","AgeGroup","CostItem","median","5%","95%"
"1","All gastro pathogens","Gastroenteritis","<5","Deaths",4086926.09847618,1864222.28295226,8279619.28081182
"2","All gastro pathogens","Gastroenteritis","<5","HumanCapital",62685351.2056819,30540835.6831146,124633635.238164
"3","All gastro pathogens","Gastroenteritis","<5","FrictionHigh",50148280.9645455,24432668.5464917,99706908.1905311
"4","All gastro pathogens","Gastroenteritis","<5","FrictionLow",18805605.3617046,9162250.70493439,37390090.5714492
"5","All gastro pathogens","Gastroenteritis","<5","TotalHumanCapital",96455883.0188936,56135036.4636657,166647222.716401
"6","All gastro pathogens","Gastroenteritis","<5","TotalFrictionHigh",83920318.7514337,49837611.6812783,141857060.760587
"7","All gastro pathogens","Gastroenteritis","<5","TotalFrictionLow",52453045.9252266,33515488.6653385,80672854.9963503
"8","All gastro pathogens","Gastroenteritis","<5","Direct",18854131.7922003,12054720.324115,27883296.0207298
"9","All gastro pathogens","Gastroenteritis","<5","WTP",9666560.1140731,5543617.22114479,15526284.6520034
"10","All gastro pathogens","Gastroenteritis","5-64","Deaths",30411133.2500882,15657112.6172023,54686598.7727303
"11","All gastro pathogens","Gastroenteritis","5-64","HumanCapital",1186818661.85245,650679001.442971,1983862521.06107
"12","All gastro pathogens","Gastroenteritis","5-64","FrictionHigh",949454929.481957,520543201.154377,1587090016.84886
"13","All gastro pathogens","Gastroenteritis","5-64","FrictionLow",356045598.555734,195203700.432891,595158756.318322
"14","All gastro pathogens","Gastroenteritis","5-64","TotalHumanCapital",1505821412.99464,869846349.494136,2431463606.44001
"15","All gastro pathogens","Gastroenteritis","5-64","TotalFrictionHigh",1268365324.73992,739272007.873388,2036627638.42073
"16","All gastro pathogens","Gastroenteritis","5-64","TotalFrictionLow",674217240.342094,411344902.976678,1048852667.28312
"17","All gastro pathogens","Gastroenteritis","5-64","Direct",165173192.688098,104232146.994722,250665191.214081
"18","All gastro pathogens","Gastroenteritis","5-64","WTP",118845610.097748,66932276.9368209,192708653.306297
"19","All gastro pathogens","Gastroenteritis","65+","Deaths",148032101.690711,76767690.4823608,260656200.187446
"20","All gastro pathogens","Gastroenteritis","65+","HumanCapital",129061662.449875,37235589.8442632,640988746.994779
"21","All gastro pathogens","Gastroenteritis","65+","FrictionHigh",103249329.9599,29788471.8754106,512790997.595823
"22","All gastro pathogens","Gastroenteritis","65+","FrictionLow",38718498.7349625,11170676.953279,192296624.098434
"23","All gastro pathogens","Gastroenteritis","65+","TotalHumanCapital",447835830.79083,280482278.103635,965365881.091089
"24","All gastro pathogens","Gastroenteritis","65+","TotalFrictionHigh",421951396.786658,268810987.995458,841470439.412484
"25","All gastro pathogens","Gastroenteritis","65+","TotalFrictionLow",352556894.549067,234725326.430551,547884523.439702
"26","All gastro pathogens","Gastroenteritis","65+","Direct",119086610.489074,71698233.567667,191532418.146161
"27","All gastro pathogens","Gastroenteritis","65+","WTP",25225092.4499106,14587789.8383242,40326077.2245535
"28","All gastro pathogens","Gastroenteritis","All Ages","Deaths",184989711.557904,110646985.536787,299258456.945246
"29","All gastro pathogens","Gastroenteritis","All Ages","HumanCapital",1432485868.26076,776235528.988401,2491725942.72988
"30","All gastro pathogens","Gastroenteritis","All Ages","FrictionHigh",1145988694.60861,620988423.190721,1993380754.1839
"31","All gastro pathogens","Gastroenteritis","All Ages","FrictionLow",429745760.478227,232870658.69652,747517782.818964
"32","All gastro pathogens","Gastroenteritis","All Ages","TotalHumanCapital",2092535406.23859,1297492174.21935,3313456531.7482
"33","All gastro pathogens","Gastroenteritis","All Ages","TotalFrictionHigh",1805410595.66156,1139374073.41843,2815919264.06731
"34","All gastro pathogens","Gastroenteritis","All Ages","TotalFrictionLow",1088889129.30245,740113164.652535,1584520711.64107
"35","All gastro pathogens","Gastroenteritis","All Ages","Direct",308103033.597092,214520033.354527,426928235.09901
"36","All gastro pathogens","Gastroenteritis","All Ages","WTP",153717495.121915,87128904.1651591,248522861.058562
"37","All gastro pathogens","ReactiveArthritis","<5","Deaths",167499.204587214,19101.96603403,781520.185281965
"38","All gastro pathogens","ReactiveArthritis","<5","HumanCapital",7368144.86052107,3982385.29336773,12755075.3468626
"39","All gastro pathogens","ReactiveArthritis","<5","FrictionHigh",5894515.88841686,3185908.23469418,10204060.2774901
"40","All gastro pathogens","ReactiveArthritis","<5","FrictionLow",2210443.45815632,1194715.58801032,3826522.60405879
"41","All gastro pathogens","ReactiveArthritis","<5","TotalHumanCapital",12445086.9034402,7110262.81305799,20921038.5922909
"42","All gastro pathogens","ReactiveArthritis","<5","TotalFrictionHigh",10970341.6777283,6309217.14906622,18387950.0692261
"43","All gastro pathogens","ReactiveArthritis","<5","TotalFrictionLow",7285087.08309126,4293045.18460338,12040713.1222978
"44","All gastro pathogens","ReactiveArthritis","<5","Direct",1334705.40486473,943267.826514342,1963609.40177534
"45","All gastro pathogens","ReactiveArthritis","<5","WTP",3468580.50930721,1839129.52704524,6115823.63672835
"46","All gastro pathogens","ReactiveArthritis","5-64","Deaths",154928.278230021,15808.4589395348,837114.681394718
"47","All gastro pathogens","ReactiveArthritis","5-64","HumanCapital",44744615.6790169,24413059.4415033,79302824.4993816
"48","All gastro pathogens","ReactiveArthritis","5-64","FrictionHigh",35795692.5432135,19530447.5532026,63442259.5995053
"49","All gastro pathogens","ReactiveArthritis","5-64","FrictionLow",13423384.7037051,7323917.83245098,23790847.3498145
"50","All gastro pathogens","ReactiveArthritis","5-64","TotalHumanCapital",70235011.3075235,40025876.4621072,121699929.439206
"51","All gastro pathogens","ReactiveArthritis","5-64","TotalFrictionHigh",61273068.3878754,35150953.3142768,105800176.287702
"52","All gastro pathogens","ReactiveArthritis","5-64","TotalFrictionLow",38892075.9593812,22844533.4184632,66292077.2677797
"53","All gastro pathogens","ReactiveArthritis","5-64","Direct",7231841.77959494,5120282.2489515,10755337.3078895
"54","All gastro pathogens","ReactiveArthritis","5-64","WTP",17881848.1890195,9555374.32662257,32296177.0492579
"55","All gastro pathogens","ReactiveArthritis","65+","Deaths",192852.169154444,18534.816265042,1075646.00309726
"56","All gastro pathogens","ReactiveArthritis","65+","HumanCapital",4946844.47029227,2677897.09643789,8902053.93306026
"57","All gastro pathogens","ReactiveArthritis","65+","FrictionHigh",3957475.57623382,2142317.67715031,7121643.14644821
"58","All gastro pathogens","ReactiveArthritis","65+","FrictionLow",1484053.34108768,803369.128931366,2670616.17991808
"59","All gastro pathogens","ReactiveArthritis","65+","TotalHumanCapital",12007828.7669384,7016162.54715984,20735765.6786625
"60","All gastro pathogens","ReactiveArthritis","65+","TotalFrictionHigh",11018633.5751065,6471594.86313878,18969310.1261994
"61","All gastro pathogens","ReactiveArthritis","65+","TotalFrictionLow",8538587.97848072,5105537.00285067,14547319.1103231
"62","All gastro pathogens","ReactiveArthritis","65+","Direct",1896580.84194191,1330716.16027011,2883419.83872167
"63","All gastro pathogens","ReactiveArthritis","65+","WTP",4812035.34172177,2554630.77296005,8827765.1586468
"64","All gastro pathogens","ReactiveArthritis","All Ages","Deaths",700122.992095237,206760.696285603,1914971.86285966
"65","All gastro pathogens","ReactiveArthritis","All Ages","HumanCapital",57154568.8510205,31256153.7101801,100377304.185871
"66","All gastro pathogens","ReactiveArthritis","All Ages","FrictionHigh",45723655.0808164,25004922.9681441,80301843.3486971
"67","All gastro pathogens","ReactiveArthritis","All Ages","FrictionLow",17146370.6553062,9376846.11305403,30113191.2557614
"68","All gastro pathogens","ReactiveArthritis","All Ages","TotalHumanCapital",94823245.902219,54616920.5630077,162490912.956753
"69","All gastro pathogens","ReactiveArthritis","All Ages","TotalFrictionHigh",83406773.0369135,48332641.7508781,142396931.945842
"70","All gastro pathogens","ReactiveArthritis","All Ages","TotalFrictionLow",54821720.5126009,32586519.7319639,92348786.1950026
"71","All gastro pathogens","ReactiveArthritis","All Ages","Direct",10515872.8111784,7732908.68963109,15091914.321084
"72","All gastro pathogens","ReactiveArthritis","All Ages","WTP",26221941.0643226,14062523.7846832,46967301.1062944
"73","All gastro pathogens","IBS","<5","Deaths",46610.6957135852,3604.72576577282,261743.880373507
"74","All gastro pathogens","IBS","<5","HumanCapital",3765656.71781727,2530757.93578899,5590305.78366276
"75","All gastro pathogens","IBS","<5","FrictionHigh",3012525.37425382,2024606.34863119,4472244.62693021
"76","All gastro pathogens","IBS","<5","FrictionLow",1129697.01534518,759227.380736696,1677091.73509883
"77","All gastro pathogens","IBS","<5","TotalHumanCapital",9915858.46966035,6371696.10013018,15434491.7442274
"78","All gastro pathogens","IBS","<5","TotalFrictionHigh",9156873.01043798,5831417.30305002,14349872.3150229
"79","All gastro pathogens","IBS","<5","TotalFrictionLow",7266694.91502271,4470570.53232114,11678466.8961053
"80","All gastro pathogens","IBS","<5","Direct",1664014.92383387,1122405.19995434,2464979.48036433
"81","All gastro pathogens","IBS","<5","WTP",4378413.17546551,2249303.53478734,7758487.96309225
