"","Pathogen","median","5%","95%"
"1","All gastro pathogens",452.314703195854,378.000563975822,579.65824463051
"2","Campylobacter",1383.03541723243,1160.43715561303,1700.57605837066
"3","Escherichia coli (Non-STEC)",422.252289359007,361.743138350197,536.975410479515
"4","Listeria monocytogenes",631175.945390013,372841.547065012,1294022.12352524
"5","Non-typhoidal salmonella",2258.47303960888,1648.23408536957,3265.62608680413
"6","Norovirus",396.109247697538,329.473094157337,551.409752556621
"7","Salmonella Typhi",14952.0279493616,11434.4722410096,37393.9714618326
"8","Shigella",1721.84904327613,1314.55847319616,3374.80692995619
"9","STEC",4535.2938859234,2301.13972430199,10093.478966307
"10","Toxoplasma gondii",842.180852309084,583.342409986489,1601.4498757493
"11","Yersinia Enterocolitica",1417.66194624591,999.655504926543,2157.049182262
