"","Pathogen","AgeGroup","Disease","CostCategory","median","5%","95%"
"1","All gastro pathogens","<5","All Diseases","Deaths",4167275.58933122,2010011.0450783,7819062.30433595
"2","All gastro pathogens","<5","All Diseases","Direct",18714497.9408729,12316495.7757594,27771819.0218217
"3","All gastro pathogens","<5","All Diseases","FrictionHigh",49263339.8674208,24417450.761534,97480600.013587
"4","All gastro pathogens","<5","All Diseases","FrictionLow",18473752.4502828,9156544.03557524,36555225.0050951
"5","All gastro pathogens","<5","All Diseases","HumanCapital",61579174.834276,30521813.4519175,121850750.016984
"6","All gastro pathogens","<5","All Diseases","WTP",9780288.19812648,5886819.66892045,15855041.121746
"7","All gastro pathogens","<5","Gastroenteritis","Deaths",4167275.58933122,2010011.0450783,7819062.30433595
"8","All gastro pathogens","<5","Gastroenteritis","Direct",18714497.9408729,12316495.7757594,27771819.0218217
"9","All gastro pathogens","<5","Gastroenteritis","FrictionHigh",49263339.8674208,24417450.761534,97480600.013587
"10","All gastro pathogens","<5","Gastroenteritis","FrictionLow",18473752.4502828,9156544.03557524,36555225.0050951
"11","All gastro pathogens","<5","Gastroenteritis","HumanCapital",61579174.834276,30521813.4519175,121850750.016984
"12","All gastro pathogens","<5","Gastroenteritis","WTP",9780288.19812648,5886819.66892045,15855041.121746
"13","All gastro pathogens","5-64","All Diseases","Deaths",30289286.444759,16373955.10012,54390099.2690193
"14","All gastro pathogens","5-64","All Diseases","Direct",164223745.86881,104774316.554738,246864597.594954
"15","All gastro pathogens","5-64","All Diseases","FrictionHigh",954003134.858893,524950002.627013,1641346306.55475
"16","All gastro pathogens","5-64","All Diseases","FrictionLow",357751175.572085,196856250.98513,615504864.958031
"17","All gastro pathogens","5-64","All Diseases","HumanCapital",1192503918.57362,656187503.283766,2051682883.19344
"18","All gastro pathogens","5-64","All Diseases","WTP",120979207.408403,71310394.246269,196276698.761196
"19","All gastro pathogens","5-64","Gastroenteritis","Deaths",30289286.444759,16373955.10012,54390099.2690193
"20","All gastro pathogens","5-64","Gastroenteritis","Direct",164223745.86881,104774316.554738,246864597.594954
"21","All gastro pathogens","5-64","Gastroenteritis","FrictionHigh",954003134.858893,524950002.627013,1641346306.55475
"22","All gastro pathogens","5-64","Gastroenteritis","FrictionLow",357751175.572085,196856250.98513,615504864.958031
"23","All gastro pathogens","5-64","Gastroenteritis","HumanCapital",1192503918.57362,656187503.283766,2051682883.19344
"24","All gastro pathogens","5-64","Gastroenteritis","WTP",120979207.408403,71310394.246269,196276698.761196
"25","All gastro pathogens","65+","All Diseases","Deaths",145387217.620115,76626936.2791165,259038510.545415
"26","All gastro pathogens","65+","All Diseases","Direct",118066966.248985,70872171.1964085,189176907.31326
"27","All gastro pathogens","65+","All Diseases","FrictionHigh",104196875.674792,31480938.5619007,556511537.940239
"28","All gastro pathogens","65+","All Diseases","FrictionLow",39073828.378047,11805351.9607128,208691826.727589
"29","All gastro pathogens","65+","All Diseases","HumanCapital",130246094.59349,39351173.2023758,695639422.425298
"30","All gastro pathogens","65+","All Diseases","WTP",25561459.3945702,15277780.6936767,40860166.9709637
"31","All gastro pathogens","65+","Gastroenteritis","Deaths",145387217.620115,76626936.2791165,259038510.545415
"32","All gastro pathogens","65+","Gastroenteritis","Direct",118066966.248985,70872171.1964085,189176907.31326
