"Source","Campylobacter","Listeria monocytogenes","Non-typhoidal Salmonella","STEC","Toxoplasma gondii","Yersinia Enterocolitica"
"Beef","5
(1 - 15)","4
(0 - 15)","6
(1 - 14)","36
(7 - 63)","22
(5 - 58)","10
(0 - 30)"
"Crustaceans","0*","5
(0 - 16)","0*","0*","0*","0*"
"Dairy","6
(0 - 13)","16
(5 - 43)","3
(0 - 18)","9
(0 - 38)","5
(0 - 15)","7
(0 - 27)"
"Eggs","0*","0*","21
(2 - 51)","0*","0*","0*"
"Finfish","0*","12
(1 - 38)","1
(0 - 4)","0*","0*","2
(0 - 8)"
"Fruit","0*","13
(1 - 23)","5
(0 - 13)","5
(1 - 11)","5
(1 - 10)","0*"
"Grains and seeds","0*","0*","4
(0 - 17)","3
(0 - 9)","0*","0*"
"Lamb","4
(0 - 11)","3
(0 - 8)","3
(0 - 11)","9
(1 - 35)","22
(2 - 59)","10
(0 - 30)"
"Molluscs","0*","3
(0 - 8)","1
(0 - 4)","0*","0*","0*"
"Nuts","0*","0*","2
(0 - 9)","1
(0 - 5)","0*","0*"
"Pork","5
(0 - 14)","10
(0 - 25)","4
(1 - 14)","6
(0 - 24)","17
(2 - 39)","54
(12 - 82)"
"Poultry","69
(40 - 89)","3
(0 - 14)","22
(4 - 47)","0*","5
(1 - 12)","0*"
"Vegetables","7
(1 - 14)","24
(9 - 39)","26
(4 - 49)","19
(5 - 56)","16
(1 - 47)","16
(1 - 49)"
"Other","11
(0 - 20)","0*","1
(0 - 5)","6
(1 - 20)","12
(1 - 38)","1
(0 - 95)"
"Total","107","91","98","93","103","100"
