"CostItem","<5","5-64","65+","All ages"
"GPSpecialist","1,010
(597 - 1,690)","7,230
(4,290 - 12,100)","2,040
(1,210 - 3,420)","10,300
(6,140 - 17,100)"
"ED","1,100
(497 - 2,300)","7,870
(3,560 - 16,500)","2,230
(1,010 - 4,680)","11,400
(5,930 - 21,800)"
"Hospitalisation","1,160
(818 - 1,620)","14,900
(10,900 - 20,600)","16,200
(11,400 - 21,700)","32,400
(25,600 - 40,400)"
"Tests","739
(525 - 1,100)","5,820
(4,070 - 8,730)","1,790
(1,240 - 2,710)","8,350
(5,840 - 12,500)"
"Medications","398
(205 - 802)","3,570
(1,970 - 6,750)","1,610
(880 - 2,930)","5,650
(3,230 - 10,100)"
"HumanCapital","12,400
(7,010 - 21,900)","118,000
(70,300 - 198,000)","17,200
(8,190 - 55,800)","151,000
(89,500 - 260,000)"
"WTP","6,160
(3,690 - 10,200)","44,400
(26,600 - 73,700)","12,600
(7,630 - 21,000)","63,200
(38,000 - 105,000)"
"Deaths","1,570
(439 - 4,320)","12,100
(7,040 - 19,600)","43,300
(24,000 - 71,400)","57,800
(37,300 - 86,600)"
"WTPOngoing","2,010
(899 - 4,190)","14,400
(6,450 - 30,100)","4,090
(1,830 - 8,480)","20,800
(9,640 - 41,500)"
"TotalHumanCapital","27,100
(16,800 - 44,100)","230,000
(147,000 - 368,000)","106,000
(74,500 - 158,000)","365,000
(250,000 - 553,000)"
