"CostItem","<5","5-64","65+","All ages"
"GPSpecialist","582
(316 - 1,050)","1,520
(825 - 2,740)","344
(187 - 622)","2,450
(1,340 - 4,400)"
"ED","622
(266 - 1,380)","1,620
(696 - 3,610)","366
(158 - 815)","2,680
(1,320 - 5,360)"
"Hospitalisation","2,050
(1,360 - 2,880)","5,360
(3,560 - 7,720)","5,830
(3,790 - 8,300)","13,400
(10,300 - 16,900)"
"Tests","524
(380 - 782)","1,470
(1,050 - 2,230)","358
(251 - 549)","2,360
(1,680 - 3,560)"
"Medications","246
(111 - 580)","791
(382 - 1,720)","279
(138 - 563)","1,340
(669 - 2,740)"
"HumanCapital","7,940
(4,140 - 15,100)","26,800
(14,600 - 49,400)","3,400
(1,660 - 10,000)","38,800
(21,100 - 71,700)"
"WTP","3,770
(2,050 - 6,880)","9,780
(5,310 - 17,900)","2,260
(1,240 - 4,100)","15,800
(8,600 - 28,900)"
"Deaths","2,670
(989 - 6,060)","15,500
(8,770 - 25,700)","37,000
(22,200 - 57,800)","56,300
(39,000 - 79,000)"
"WTPOngoing","1,220
(504 - 2,660)","3,170
(1,310 - 6,950)","717
(298 - 1,580)","5,170
(2,230 - 10,900)"
"TotalHumanCapital","20,100
(12,600 - 33,200)","67,200
(44,000 - 106,000)","51,900
(35,500 - 74,600)","140,000
(102,000 - 201,000)"
