"CostItem","<5","5-64","65+","All Ages"
"GPSpecialist","7.46
(3.04 - 17.3)","32.6
(13.3 - 75.2)","8.47
(3.44 - 19.6)","48.8
(20.4 - 110)"
"ED","17
(6.06 - 45)","74.1
(26.4 - 198)","19.4
(6.89 - 51.6)","114
(44.7 - 278)"
"Hospitalisation","76.7
(31.4 - 187)","361
(162 - 842)","142
(79.8 - 271)","579
(281 - 1,300)"
"Tests","5.64","24.6","6.41","36.6"
"Medications","2.83
(1.16 - 6.57)","9.19
(3.9 - 20.5)","3.33
(1.36 - 7.74)","15.5
(6.6 - 34.3)"
"HumanCapital","148
(59.9 - 348)","889
(383 - 1,980)","121
(39.8 - 511)","1,190
(509 - 2,710)"
"WTP","76.2
(32.5 - 169)","333
(143 - 737)","87.1
(37.5 - 192)","496
(213 - 1,100)"
"Deaths","820
(185 - 2,510)","6,120
(2,920 - 11,800)","1,370
(374 - 3,760)","8,800
(4,960 - 14,900)"
"WTPOngoing","8.77
(2.83 - 25.2)","38.2
(12.3 - 110)","9.94
(3.23 - 28.8)","58.2
(20.5 - 157)"
"TotalHumanCapital","1,220
(495 - 2,940)","8,140
(4,540 - 14,100)","1,860
(774 - 4,310)","11,700
(7,260 - 18,300)"
