"CostItem","<5","5-64","65+","All Ages"
"GPSpecialist","10.4
(3.54 - 24)","57.9
(19.7 - 133)","6.46
(2.2 - 14.8)","75
(25.5 - 172)"
"ED","11.2
(3.33 - 31.1)","61.9
(18.4 - 171)","6.91
(2.06 - 19.2)","82.1
(26 - 212)"
"Hospitalisation","41.3
(17.4 - 78.3)","188
(88.3 - 342)","47.2
(20.1 - 87.9)","282
(167 - 449)"
"Tests","32.4
(28.7 - 39.5)","184
(161 - 229)","20.9
(18.1 - 26.6)","237
(208 - 295)"
"Medications","5.11
(1.67 - 12.7)","34.5
(11.4 - 83.4)","5.77
(1.9 - 13.8)","45.8
(15.4 - 108)"
"HumanCapital","139
(53.5 - 314)","991
(370 - 2,200)","54.6
(17.9 - 203)","1,200
(450 - 2,670)"
"WTP","66.4
(23.7 - 149)","365
(128 - 824)","40.6
(14.3 - 91.8)","472
(166 - 1,060)"
"Deaths","142
(23.3 - 553)","472
(135 - 1,290)","35.2
(4.28 - 278)","746
(296 - 1,650)"
"WTPOngoing","20.9
(6.29 - 56.9)","116
(35 - 315)","12.9
(3.88 - 35.1)","151
(46.4 - 400)"
"TotalHumanCapital","513
(250 - 1,020)","2,590
(1,320 - 4,820)","268
(128 - 607)","3,410
(1,840 - 6,170)"
