"CostItem","<5","5-64","65+","All ages"
"GPSpecialist","22.8
(11.7 - 42.8)","94.7
(48.4 - 178)","26.8
(13.7 - 50.1)","145
(75.8 - 266)"
"ED","48
(20.4 - 107)","198
(84.7 - 442)","56.2
(24 - 125)","311
(151 - 622)"
"Hospitalisation","35
(18.1 - 75.6)","144
(68.5 - 332)","95.5
(60.6 - 151)","275
(161 - 542)"
"Tests","20.3
(16.3 - 27.8)","84.2
(67.7 - 115)","23.8
(19.2 - 32.7)","129
(103 - 175)"
"Medications","18.7
(8.25 - 45)","68.3
(29 - 173)","22.3
(9.87 - 53.7)","114
(51.1 - 253)"
"HumanCapital","520
(249 - 1,020)","2,840
(1,450 - 5,320)","409
(159 - 1,420)","3,870
(1,950 - 7,380)"
"WTP","250
(131 - 458)","1,040
(545 - 1,900)","294
(155 - 538)","1,580
(831 - 2,900)"
"Deaths","187
(6.1 - 1,570)","2,480
(786 - 6,080)","235
(7.17 - 2,010)","3,410
(1,280 - 7,460)"
"WTPOngoing","31
(10.2 - 72.8)","129
(42.1 - 301)","36.4
(11.9 - 85.2)","198
(65.8 - 452)"
"TotalHumanCapital","1,280
(618 - 2,770)","7,420
(4,230 - 12,500)","1,410
(665 - 3,570)","10,400
(6,150 - 17,100)"
