"CostItem","<5","5-64","65+","All Ages"
"GPSpecialist","7.44
(3.05 - 17.3)","32.4
(13.3 - 75.8)","8.45
(3.46 - 19.8)","48.6
(20.4 - 111)"
"ED","17
(6.06 - 45.2)","74.1
(26.4 - 197)","19.3
(6.92 - 51.4)","114
(44.7 - 277)"
"Hospitalisation","76.4
(31.2 - 188)","360
(161 - 846)","142
(79.5 - 270)","578
(281 - 1,300)"
"Tests","5.64","24.6","6.41","36.6"
"Medications","2.83
(1.16 - 6.61)","9.18
(3.91 - 20.6)","3.32
(1.36 - 7.79)","15.4
(6.62 - 34.5)"
"HumanCapital","147
(59.5 - 348)","879
(378 - 1,980)","118
(38.6 - 500)","1,180
(501 - 2,700)"
"WTP","75.9
(32.6 - 169)","332
(143 - 739)","86.7
(37.6 - 193)","494
(214 - 1,100)"
"Deaths","816
(183 - 2,510)","6,140
(2,940 - 11,800)","1,380
(375 - 3,790)","8,820
(4,980 - 14,900)"
"WTPOngoing","8.75
(2.83 - 25.3)","38
(12.3 - 111)","9.91
(3.21 - 28.7)","57.9
(20.3 - 158)"
"TotalHumanCapital","1,220
(491 - 2,940)","8,150
(4,560 - 14,100)","1,870
(770 - 4,340)","11,700
(7,270 - 18,400)"
