"CostItem","<5","5-64","65+","All Ages"
"GPSpecialist","10.5
(3.58 - 23.9)","57.9
(19.9 - 133)","6.46
(2.21 - 14.8)","74.8
(25.7 - 172)"
"ED","11.2
(3.36 - 30.7)","61.8
(18.7 - 171)","6.91
(2.09 - 19.1)","82.2
(26.2 - 211)"
"Hospitalisation","41.3
(17.3 - 77.8)","189
(88.4 - 342)","47.1
(20.2 - 87.8)","282
(167 - 449)"
"Tests","32.4
(28.8 - 39.5)","184
(161 - 229)","20.9
(18.1 - 26.5)","237
(208 - 295)"
"Medications","5.1
(1.68 - 12.7)","34.5
(11.6 - 82.9)","5.76
(1.93 - 13.8)","45.7
(15.5 - 108)"
"HumanCapital","135
(50 - 307)","968
(353 - 2,170)","53.2
(17.2 - 196)","1,170
(426 - 2,630)"
"WTP","66.4
(23.9 - 149)","365
(129 - 821)","40.7
(14.4 - 91.5)","472
(167 - 1,060)"
"Deaths","141
(23.6 - 550)","471
(136 - 1,290)","34.8
(4.27 - 283)","745
(296 - 1,660)"
"WTPOngoing","20.9
(6.31 - 56.3)","116
(34.8 - 311)","12.9
(3.9 - 34.9)","151
(46.2 - 396)"
"TotalHumanCapital","508
(248 - 1,010)","2,560
(1,300 - 4,790)","266
(127 - 602)","3,380
(1,820 - 6,130)"
