"CostItem","<5","5-64","65+","All Ages"
"GPSpecialist","22.8
(11.6 - 42.5)","94.4
(48.5 - 177)","26.7
(13.7 - 50.1)","144
(75.9 - 265)"
"ED","47.7
(20.4 - 106)","198
(85.2 - 441)","56.1
(24 - 125)","311
(152 - 618)"
"Hospitalisation","34.8
(18 - 75.9)","143
(68.4 - 332)","95.4
(60.3 - 150)","274
(161 - 541)"
"Tests","20.3
(16.3 - 27.8)","84.1
(67.7 - 115)","23.8
(19.2 - 32.7)","129
(103 - 174)"
"Medications","18.6
(8.23 - 44.9)","68.1
(29.1 - 173)","22.3
(9.86 - 53.7)","113
(51.2 - 252)"
"HumanCapital","517
(247 - 1,010)","2,820
(1,440 - 5,300)","406
(157 - 1,410)","3,840
(1,940 - 7,340)"
"WTP","249
(131 - 457)","1,030
(544 - 1,900)","293
(154 - 537)","1,570
(830 - 2,890)"
"Deaths","184
(6.06 - 1,560)","2,490
(792 - 6,110)","236
(7.15 - 2,000)","3,410
(1,300 - 7,490)"
"WTPOngoing","31
(10.1 - 72.5)","128
(42 - 300)","36.4
(11.9 - 85.1)","197
(65.4 - 450)"
"TotalHumanCapital","1,270
(619 - 2,770)","7,410
(4,230 - 12,500)","1,410
(663 - 3,540)","10,400
(6,150 - 17,100)"
